#{"t_start": 1746033477.5858345, "env_id": "None"}
r,l,t
-1.0,10,24.954373
-2.5,10,24.975913
1.0,10,24.997141
-2.5,10,25.01824
0.5,10,25.039704
0.5,10,25.060704
-7.0,10,25.082206
0.5,10,25.103622
5.0,10,25.124652
-1.0,10,25.146008
2.0,10,25.167564
-1.0,10,25.189265
-2.5,10,25.210359
-2.0,10,25.23163
-1.0,10,25.268216
7.0,10,25.299438
-1.0,10,25.320263
0.5,10,25.340978
2.0,10,25.361541
-2.0,10,25.381963
4.0,10,25.402424
-2.5,10,25.423243
-5.5,10,25.444612
3.5,10,25.466042
2.0,10,25.487029
-2.5,10,25.508076
-4.0,10,25.53334
-2.0,10,25.555337
3.5,10,25.577424
4.0,10,25.599533
2.0,10,25.620916
-8.5,10,25.642101
0.5,10,25.663635
-2.5,10,25.685121
-2.0,10,25.706381
-5.0,10,25.728359
-1.0,10,25.750575
-5.5,10,28.528995
-2.5,10,28.549555
10.0,10,28.570328
1.0,10,28.591228
-5.5,10,28.613091
7.0,10,28.634254
-7.0,10,28.655636
-5.5,10,28.676481
10.0,10,28.697243
2.0,10,28.71801
-4.0,10,28.738831
-10.0,10,29.212172
1.0,10,29.233172
10.0,10,29.254065
4.0,10,29.27524
10.0,10,29.296261
4.0,10,29.317945
1.0,10,29.338965
1.0,10,29.360543
-5.0,10,29.381898
0.5,10,29.40305
7.0,10,29.424573
2.0,10,29.446356
-11.0,10,29.467678
1.0,10,29.489231
1.0,10,29.510651
10.0,10,29.53147
-5.0,10,29.552557
-4.0,10,29.574094
-5.5,10,29.595992
-1.0,10,29.617398
3.5,10,29.639164
2.0,10,29.660897
2.0,10,29.682617
-2.5,10,29.70395
3.5,10,29.725124
10.0,10,29.746282
7.0,10,29.768007
4.0,10,29.789756
4.0,10,29.812427
2.0,10,29.835196
-8.5,10,29.856624
-1.0,10,29.878036
10.0,10,29.899321
4.0,10,29.920274
7.0,10,29.942656
-4.0,10,29.964368
1.0,10,29.985696
-8.5,10,30.006975
7.0,10,30.028821
10.0,10,30.050265
-7.0,10,30.071222
2.0,10,30.092678
7.0,10,30.11457
4.0,10,30.135725
-2.0,10,30.157124
-8.5,10,30.178396
-2.5,10,30.201383
7.0,10,30.230648
4.0,10,30.259474
7.0,10,30.28615
1.0,10,30.308161
-5.5,10,30.330214
7.0,10,30.351902
-2.0,10,30.373468
-8.0,10,30.395492
1.0,10,30.417101
1.0,10,30.438659
2.0,10,30.460979
4.0,10,30.482762
5.0,10,30.504319
3.5,10,30.526034
-11.0,10,30.548058
-8.5,10,30.570407
2.0,10,30.592556
7.0,10,30.614276
5.0,10,30.635731
3.5,10,30.657545
4.0,10,30.678366
-11.0,10,30.699175
10.0,10,30.720698
10.0,10,30.742141
-1.0,10,30.764037
0.5,10,30.785315
-2.0,10,30.807398
1.0,10,30.829241
1.0,10,30.850777
-7.0,10,30.872433
0.5,10,30.894245
