#{"t_start": 1746049844.9104855, "env_id": "None"}
r,l,t
1.0,1,25.02287
-1.0,1,25.037707
1.0,1,25.051415
-1.0,1,25.063362
-1.0,2,25.087634
1.0,2,25.113786
1.0,2,25.13843
-1.0,3,25.169323
-1.0,3,25.202795
-1.0,1,25.213409
1.0,1,25.223963
1.0,1,25.234639
-1.0,3,25.266671
-1.0,1,25.276812
-1.0,1,25.287384
1.0,1,25.297705
-1.0,2,25.320276
-1.0,1,25.331746
1.0,1,25.342364
1.0,2,25.37968
-1.0,1,25.395679
-1.0,1,25.407093
1.0,2,25.428905
1.0,1,25.439687
1.0,1,25.453107
1.0,1,25.464475
-1.0,6,25.524827
1.0,2,25.556678
-1.0,3,25.599079
-1.0,1,25.610552
1.0,1,25.623921
-1.0,3,25.658371
1.0,1,25.670302
1.0,2,25.694595
-1.0,1,25.705999
1.0,2,25.729138
1.0,2,25.743353
1.0,1,25.754807
1.0,1,25.767244
-1.0,1,25.779322
1.0,2,25.800615
1.0,1,25.812221
-1.0,1,25.824094
1.0,3,25.869561
1.0,1,25.884918
-1.0,1,25.906395
1.0,1,25.92046
-1.0,1,25.933885
1.0,1,25.9471
-1.0,1,25.967943
-1.0,2,26.002346
-1.0,1,26.018117
1.0,1,26.032545
1.0,1,26.045727
1.0,2,26.074271
1.0,2,26.104445
-1.0,1,26.120575
1.0,1,26.14359
1.0,2,26.178494
-1.0,1,26.201108
1.0,1,26.21603
-1.0,2,26.242807
-1.0,1,26.254416
1.0,1,26.26628
1.0,1,26.277996
1.0,1,26.289269
1.0,3,26.32643
1.0,3,26.356986
-1.0,1,26.367032
1.0,1,26.378181
-1.0,1,26.388608
1.0,1,26.401705
1.0,1,26.414385
-1.0,1,26.42891
-1.0,1,26.443299
1.0,1,26.456473
1.0,1,26.469701
-1.0,2,26.496855
-1.0,1,26.510626
-1.0,2,26.535534
-1.0,1,26.547293
1.0,1,26.558504
-1.0,4,26.597733
1.0,2,26.62174
-1.0,1,26.633355
-1.0,1,26.645694
1.0,1,26.655418
-1.0,3,26.687879
-1.0,1,26.699403
